Region,IR-Green,UV-Green
CassiniRegio,1.52,0.64
CassiniRegio,1.51,0.65
CassiniRegio,1.54,0.65
CassiniRegio,1.53,0.66
TransitionZone,1.44,0.66
TransitionZone,1.42,0.69
TransitionZone,1.42,0.7
TransitionZone,1.28,0.73
TransitionZone,1.4,0.75
TransitionZone,1.24,0.75
TransitionZone,1.32,0.77
TransitionZone,1.26,0.77
BrightTerrain,1.13,0.79
BrightTerrain,1.2,0.8
BrightTerrain,1.22,0.8
BrightTerrain,1.19,0.81
BrightTerrain,1.21,0.82
BrightTerrain,1.16,0.83
BrightTerrain,1.14,0.88
BrightTerrain,1.13,0.89
SouthPole,1.02,0.94
SouthPole,0.98,0.95
SouthPole,1.01,0.99
SouthPole,1,1
